,SAR,Infections,Reff_1,Reff_2,Excess,n
306,0.966505065,0.023727465,0.103465573,0.206931145,1.525691348,30500
307,0.969803976,0.02379526,0.103113621,0.206227243,1.521420866,30600
308,0.97310601,0.023863014,0.102763727,0.205527453,1.517173097,30700
309,0.97641117,0.023930727,0.102415871,0.204831741,1.512947854,30800
310,0.979719458,0.0239984,0.102070036,0.204140071,1.508744948,30900
311,0.98303088,0.024066032,0.101726204,0.203452408,1.504564198,31000
312,0.986345437,0.024133623,0.101384359,0.202768718,1.50040542,31100
313,0.989663134,0.024201174,0.101044483,0.202088967,1.496268435,31200
314,0.992983974,0.024268685,0.10070656,0.20141312,1.492153064,31300
315,0.99630796,0.024336156,0.100370572,0.200741144,1.488059133,31400
316,0.999635096,0.024403587,0.100036504,0.200073007,1.483986467,31500
317,1.002965384,0.024470977,0.099704338,0.199408677,1.479934893,31600
318,1.006298829,0.024538328,0.09937406,0.19874812,1.475904243,31700
319,1.009635433,0.024605639,0.099045652,0.198091304,1.471894347,31800
320,1.0129752,0.024672911,0.0987191,0.1974382,1.46790504,31900
321,1.016318133,0.024740143,0.098394387,0.196788775,1.463936156,32000
322,1.019664235,0.024807335,0.098071499,0.196142998,1.459987534,32100
323,1.02301351,0.024874488,0.09775042,0.19550084,1.456059011,32200
324,1.02636596,0.024941602,0.097431135,0.194862269,1.452150429,32300
325,1.029721589,0.025008677,0.097113629,0.194227257,1.448261631,32400
326,1.033080401,0.025075713,0.096797887,0.193595774,1.444392461,32500
327,1.036442397,0.02514271,0.096483896,0.192967791,1.440542764,32600
328,1.039807583,0.025209668,0.09617164,0.192343279,1.436712388,32700
329,1.043175959,0.025276587,0.095861105,0.19172221,1.432901182,32800
330,1.046547531,0.025343468,0.095552277,0.191104555,1.429108997,32900
331,1.0499223,0.02541031,0.095245143,0.190490287,1.425335686,33000
332,1.053300271,0.025477114,0.094939689,0.189879378,1.421581103,33100
333,1.056681446,0.025543879,0.0946359,0.189271801,1.417845102,33200
334,1.060065828,0.025610607,0.094333764,0.188667529,1.414127542,33300
335,1.06345342,0.025677296,0.094033268,0.188066535,1.41042828,33400
336,1.066844226,0.025743947,0.093734397,0.187468794,1.406747176,33500
337,1.070238248,0.02581056,0.093437139,0.186874278,1.403084093,33600
338,1.073635489,0.025877135,0.093141481,0.186282963,1.399438893,33700
339,1.077035954,0.025943672,0.092847411,0.185694822,1.39581144,33800
340,1.080439643,0.026010172,0.092554916,0.185109831,1.3922016,33900
341,1.083846562,0.026076634,0.092263982,0.184527965,1.388609241,34000
342,1.087256712,0.026143059,0.091974599,0.183949198,1.385034231,34100
343,1.090670096,0.026209446,0.091686753,0.183373507,1.381476439,34200
344,1.094086718,0.026275796,0.091400433,0.182800866,1.377935738,34300
345,1.097506581,0.026342109,0.091115627,0.182231253,1.374411999,34400
346,1.100929687,0.026408385,0.090832322,0.181664644,1.370905097,34500
347,1.10435604,0.026474624,0.090550508,0.181101015,1.367414907,34600
348,1.107785642,0.026540825,0.090270172,0.180540343,1.363941304,34700
349,1.111218497,0.02660699,0.089991303,0.179982605,1.360484167,34800
350,1.114654607,0.026673119,0.089713889,0.179427779,1.357043375,34900
351,1.118093975,0.02673921,0.08943792,0.178875841,1.353618807,35000
352,1.121536604,0.026805265,0.089163385,0.17832677,1.350210346,35100
353,1.124982497,0.026871283,0.088890272,0.177780544,1.346817873,35200
354,1.128431657,0.026937265,0.08861857,0.17723714,1.343441272,35300
355,1.131884087,0.027003211,0.088348269,0.176696538,1.340080428,35400
356,1.13533979,0.027069121,0.088079358,0.176158716,1.336735227,35500
357,1.138798768,0.027134994,0.087811827,0.175623653,1.333405556,35600
358,1.142261024,0.027200831,0.087545664,0.175091328,1.330091304,35700
359,1.145726562,0.027266633,0.08728086,0.174561721,1.326792359,35800
360,1.149195383,0.027332398,0.087017405,0.17403481,1.323508613,35900
361,1.152667492,0.027398128,0.086755288,0.173510576,1.320239956,36000
362,1.15614289,0.027463822,0.086494499,0.172988998,1.316986281,36100
363,1.159621581,0.02752948,0.086235028,0.172470057,1.313747482,36200
