"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"143","EST","Estonia","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-28,9000,1326.062,0
"144","FIN","Finland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-27,58159.5605503088,5540.745,0
"145","FRA","France","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-19,330000,64626.628,0
"146","GEO","Georgia","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-15,18500,3744.385,0
"147","DEU","Germany","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-19,750000,83369.843,0
"148","GHA","Ghana","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-08,54800,33475.87,0
"149","GIB","Gibraltar","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-01,235.82739112419,32.649,0
"150","GRC","Greece","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-08,94000,10384.971,0
"151","GRL","Greenland","Americas","Northern America",2022-05-02,0,0,0,0,2022-08-09,632.382709978253,56.466,0
"152","GLP","Guadeloupe","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-25,13336.8424,395.752,0
"153","GUM","Guam","Oceania","Micronesia",2022-05-02,0,0,0,0,2022-09-11,2799.9162,171.774,0
"154","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-03,116500,17843.908,0
"155","GUY","Guyana","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-22,3300,808.726,0
"156","HND","Honduras","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-13,40900,10432.86,0
"157","HKG","Hong Kong","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-09-06,122068.4995,7488.865,0
"158","HUN","Hungary","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-05-31,210310.1988,9967.308,0
"159","ISL","Iceland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-15,3914.21044817071,372.899,0
"160","IND","India","Asia","Southern Asia",2022-05-02,0,0,0,0,2022-07-14,238200,1417173.173,0
"161","IDN","Indonesia","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-08-19,754300,275501.339,0
"162","IRN","Iran","Asia","Southern Asia",2022-05-02,0,0,0,0,2022-08-16,313924.554014187,88550.57,0
"163","IRL","Ireland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-27,86500,5023.109,0
"164","ISR","Israel","Asia","Western Asia",2022-05-02,0,0,0,0,2022-05-21,92190.7518,9038.309,0
"165","ITA","Italy","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-19,426434.30034556,59037.474,0
"166","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-06,42400,2827.377,0
"167","JPN","Japan","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-07-25,7e+05,123951.692,0
"168","JOR","Jordan","Asia","Western Asia",2022-05-02,0,0,0,0,2022-09-08,115115.8638,11285.869,0
