,SAR,Infections,Reff_1,Reff_2,n
1545,6.92019307,0.072668237,0.014450464,0.028900928,154400
1546,6.927086443,0.072705635,0.014436084,0.028872167,154500
1547,6.933983775,0.072743026,0.014421724,0.028843448,154600
1548,6.940885066,0.07278041,0.014407385,0.028814769,154700
1549,6.947790319,0.072817787,0.014393065,0.028786131,154800
1550,6.954699535,0.072855157,0.014378766,0.028757533,154900
1551,6.961612715,0.072892521,0.014364488,0.028728975,155000
1552,6.968529861,0.072929877,0.014350229,0.028700458,155100
1553,6.975450975,0.072967226,0.014335991,0.028671981,155200
1554,6.982376058,0.073004568,0.014321772,0.028643545,155300
1555,6.989305111,0.073041903,0.014307574,0.028615148,155400
1556,6.996238138,0.073079231,0.014293396,0.028586791,155500
1557,7.003175138,0.073116553,0.014279237,0.028558475,155600
1558,7.010116113,0.073153867,0.014265099,0.028530198,155700
1559,7.017061066,0.073191174,0.01425098,0.028501961,155800
1560,7.024009997,0.073228475,0.014236882,0.028473764,155900
1561,7.030962909,0.073265768,0.014222803,0.028445606,156000
1562,7.037919803,0.073303055,0.014208744,0.028417488,156100
1563,7.04488068,0.073340335,0.014194705,0.028389409,156200
1564,7.051845542,0.073377607,0.014180685,0.02836137,156300
1565,7.05881439,0.073414873,0.014166685,0.02833337,156400
1566,7.065787227,0.073452132,0.014152705,0.028305409,156500
1567,7.072764053,0.073489384,0.014138744,0.028277488,156600
1568,7.079744871,0.073526629,0.014124803,0.028249606,156700
1569,7.086729682,0.073563867,0.014110881,0.028221762,156800
1570,7.093718487,0.073601098,0.014096979,0.028193958,156900
1571,7.100711288,0.073638323,0.014083096,0.028166192,157000
1572,7.107708087,0.07367554,0.014069233,0.028138466,157100
1573,7.114708886,0.073712751,0.014055389,0.028110778,157200
1574,7.121713685,0.073749954,0.014041564,0.028083128,157300
1575,7.128722487,0.073787151,0.014027759,0.028055518,157400
1576,7.135735292,0.073824341,0.014013973,0.028027946,157500
1577,7.142752104,0.073861524,0.014000206,0.028000412,157600
1578,7.149772922,0.0738987,0.013986458,0.027972916,157700
1579,7.156797749,0.07393587,0.01397273,0.027945459,157800
1580,7.163826587,0.073973032,0.01395902,0.02791804,157900
1581,7.170859437,0.074010188,0.01394533,0.02789066,158000
1582,7.1778963,0.074047336,0.013931658,0.027863317,158100
1583,7.184937179,0.074084478,0.013918006,0.027836012,158200
1584,7.191982074,0.074121613,0.013904373,0.027808746,158300
1585,7.199030988,0.074158742,0.013890758,0.027781517,158400
1586,7.206083921,0.074195863,0.013877163,0.027754326,158500
1587,7.213140877,0.074232978,0.013863586,0.027727172,158600
1588,7.220201855,0.074270085,0.013850028,0.027700057,158700
1589,7.227266858,0.074307186,0.013836489,0.027672978,158800
1590,7.234335887,0.07434428,0.013822969,0.027645938,158900
1591,7.241408945,0.074381368,0.013809467,0.027618935,159000
