"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","MSM_percent","imputed","prop","prop_med"
"195","Sub-Saharan Africa","Senegal","SEN",52.5,251.0885105,"Africa",17316.449,1.45,52.5,0.303179941799846,1.45
"196","Sub-Saharan Africa","Eswatini","SWZ",4,17.424215,"Africa",1201.67,1.45,4,0.332870089125966,1.45
"197","Sub-Saharan Africa","Réunion","REU",NA,NA,"Africa",974.052,1.45,14.123754,1.45,1.45
"198","Sub-Saharan Africa","Togo","TGO",6.1,128.3061355,"Africa",8848.699,1.45,6.1,0.0689366877548892,1.45
"199","Sub-Saharan Africa","Ghana","GHA",54.8,485.400115,"Africa",33475.87,1.45,54.8,0.163700002419653,1.45
"200","Sub-Saharan Africa","Zimbabwe","ZWE",23,236.6477865,"Africa",16320.537,1.45,23,0.140926735437688,1.45
"201","Sub-Saharan Africa","Madagascar","MDG",17,429.369853,"Africa",29611.714,1.45,17,0.0574097129264453,1.45
"202","Sub-Saharan Africa","Sierra Leone","SLE",3.2,124.782911,"Africa",8605.718,1.45,3.2,0.0371845789043982,1.45
"203","Sub-Saharan Africa","Burkina Faso","BFA",3.5,328.769549,"Africa",22673.762,1.45,3.5,0.0154363444407681,1.45
"204","Sub-Saharan Africa","Somalia","SOM",NA,255.1639095,"Africa",17597.511,1.45,255.1639095,1.45,1.45
"205","Sub-Saharan Africa","Chad","TCD",8.2,256.9880675,"Africa",17723.315,1.45,8.2,0.0462667396026082,1.45
"206","Sub-Saharan Africa","South Africa","ZAF",309.7,868.4613325,"Africa",59893.885,1.45,309.7,0.517081167802022,1.45
"207","Sub-Saharan Africa","Namibia","NAM",2.2,37.221674,"Africa",2567.012,1.45,2.2,0.0857027547981856,1.45
"208","Western Asia","United Arab Emirates","ARE",NA,96.2995158,"Asia",9441.129,1.02,96.2995158,1.02,1.02
"209","Western Asia","Oman","OMN",NA,46.6782396,"Asia",4576.298,1.02,46.6782396,1.02,1.02
"210","Western Asia","Armenia","ARM",22.7,28.3607838,"Asia",2780.469,1.02,22.7,0.816409030275108,1.02
"211","Western Asia","Azerbaijan","AZE",23.9,105.6523548,"Asia",10358.074,1.02,23.9,0.230737876558905,1.02
"212","Western Asia","Bahrain","BHR",NA,15.0167766,"Asia",1472.233,1.02,15.0167766,1.02,1.02
"213","Western Asia","Yemen","YEM",44,343.7054628,"Asia",33696.614,1.02,44,0.130576917906351,1.02
"214","Western Asia","Qatar","QAT",NA,27.4902444,"Asia",2695.122,1.02,27.4902444,1.02,1.02
"215","Western Asia","Turkey","TUR",NA,870.4806582,"Asia",85341.241,1.02,870.4806582,1.02,1.02
"216","Western Asia","Georgia","GEO",18.5,38.192727,"Asia",3744.385,1.02,18.5,0.494073125493239,1.02
"217","Western Asia","Kuwait","KWT",NA,43.5425046,"Asia",4268.873,1.02,43.5425046,1.02,1.02
